Persona,Lv.,Arcana,Types,Drain,Reflect,Null,Resist,Evade 1,Evade 2,Evade 3,Weak,Type,Stat Bonuses,Natural Skill,Active Abilities,Passive Abilities,Disposition,Reward,STR,MAG,TEC,AGI,VIT,LCK,Pg.,Compendium?
Blight Coronet,13,Hanged Man,,,,,Fire,,,,Ice,Minion,,,"Corrode: 1 target. On hit: STRd8 (22) Physical damage and Fortify All -5 on target for 2 rounds. 
Spring of Despair: 1 target. 50% Fearful chance. ",,,,5,2,5,2,5,2,SSI-16,FALSE
Erlkonig,13,Tower,"Wind, Thunder, Dark",,,"Wind, Thunder, Dark",Gun,,,,Fire,Shadow,"+2 MAG, +2 VIT","Amidst the Trees – You can use your movement action to automatically move to any unoccupied Pollen space. If you do, you gain +1 HDC for the next attack you declare until the end of your next turn. ","Distant Thunder: One target Erlkonig can see. On hit: (52) Thunder damage and 30% Shocked chance. If the target takes damage from this spell, place one Sapling onto the map. If the target suffers Shocked from this attack, place another Sapling onto the map. 
Hapakradyne: Up to three targets Erlkonig can see. On hit: 9d8 (40) Wind damage. If at least one target took damage from this spell, Erlkonig places one Sapling in an unoccupied space on the map. 
Verdant Phantasmagoria: Can only be cast if there are four or more spaces currently occupied by a Sapling. Erlkonig removes four Saplings from combat, moves to a free adjacent position to a User it can see and puts that target in Death's Door. This is an Almighty Death Category Effect. ","Alder King (P): At the start of each one of Erlkonig's turns, it heals itself and all Shadows in combat for 20% (48) of its maximum HP. At the start of each User's turn, that User suffers a -2 STR, -2 MAG Debuff until the end of their turn. 
Enduring Patience (P): Erlkonig cannot move or be moved from its position by any means outside of Verdant Phantasmagoria. Erlkonig is immune to any effects that specify a space, such as Fire Monk's Trance. 
The Endless Forest (P): Saplings are effects placed by Erlkonig on map spaces. Spaces occupied by Saplings cannot be moved into or through, and Saplings are only removed when Verdant Phantasmagoria is cast, or when combat ends. ","Noble, Insane","In Mourning, Purple Hyacinth (T3 Bloom)",1,9,8,1,8,2,SSVI-37,FALSE
Ganesha,13,Star,"Physical, Debuff",Wind,,,,,,,Status,Shadow,"+2 STR, + 1 VIT, +4 Courage","Lord of Obstacles – You can substitute any target’s initiative by half of yours, at the start of combat.","Giant Slice: All units between Ganesha and a point within 5 meters. On hit: 8d6 (28) Physical damage.
Masukundamon: Any number of targets suffer -2 TEC, -2 AGI for 3 rounds.",,"Noble, Aggressive",Sukundaou (T3 Debuff),8,1,5,4,8,4,C-244,FALSE
Hadad,13,Emperor,"Wind, Buff",Wind,,,Light,,,,,Shadow,"+1 MAG, +1 TEC, +2 VIT",Claim the Title – You gain +1 Tiers to all your Social Skills to Interact with targets of the same Arcana as your Active Persona.,"Tetraja: Any number of targets becomes immune to Death category spells for 3 rounds.
Shield of the Storm: Hadad loses 25% of its current HP to cast this spell. Any number of targets. On hit: 6d8 (21) Wind damage. Hadad gains Fortify All 3 for each hit target until the end of its next turn.",,"Devilish, Friendly",Rakukajaou (T3 Buff),1,6,6,5,8,4,C-241,FALSE
Hades,13,Death,"Ice, Dark, Status",,,"Ice, PSY, Dark",,,,,Fire,Icon,"+2 MAG, +2 VIT","Wailing Depths (Ice, Dark) – Once per combat, as a Quick action, you can forget an Imbue effect you have memorized and target one enemy within TEC meters: If that target's HP is below 20%, that target is immediately slain. This is considered a Death Category effect. ","Swirling Oblivion: Any number of targets. On hit: 9d6 (31) Water damage. After casting this spell, Hades gains +1 TEC. This stacks with previous activations. 
Sinking Misery: One target Hades can see whose HP is below 30% of its maximum enters Death's Door. After casting, if this spell defeated a target, all spells Hades casts restore 10% (50) HP to Hades. 
Scorching Agony: Up to three targets within 9 meters. 15+5TEC (60%) Stunned chance. After casting this spell, all spells Hades casts gain 20% Charmed chance on hit. This stacks with previous activations. ","Seventh Spiral of the Underworld (P): The effects applied after Swirling Oblivion, Sinking Misery, and Scorching Agony are cast are not Buff effects and last until Hades is defeated. ",Insane,Zai Aku Tou Ten (T3 Dark),1,9,9,1,8,2,SSV-19,FALSE
Narcissus,13,Lovers,"Wind, Heal",,,Thunder,"Wind, Light",,,,Fire,Shadow,"+1 MAG, +2 AGI, +4 Charm",Spotlight – Grants +2 MAG for the first round if you’re the first unit in the initiative queue. This stacks with other Buff effects.,Ballet of the Wind: Up to 1d6 targets within 7 meters. +1 HDC. On hit: 9d4 (17) Wind damage and 20% Charmed chance.,"Pride... (P): All of Narcissus’ Attacks have 20% chance to inflict Charmed
... And Downfall (P): If a target of any of Narcissus’ attacks has an effect that can Reflect Status effects, Narcissus will always be inflicted by the reflected Status.
Devotion (P): Every time Narcissus dodges an attack; it heals up to 50% of its maximum HP.","Snobbish, Flirty",Amrita (T3 Heal),1,9,4,10,3,2,C-244,FALSE
Hokuto Seikun,13,Heirophant,"Physical, Ice",,Thunder,,,,,,Fire,Shadow,"+4 Knowledge, +2 STR, +1 TEC","Wiseman of the North Star – At the start of each combat, roll initiative a second time. Any one of your allies may substitute their initiative rolls with the second roll","Absolute Blade: 1 target within 4 meters. On hit: 8d6 (36) Physical damage. If the target has Null, Reflect or Drain Physical, this attack deals 5d8 (22) Ice damage instead.
Seven Stars of Death: 1d6 targets Hokuto Seikun can see. On hit: 5d4+4 (16) Ice damage.",,Aggressive,Diamond Dust (T3 Ice),8,5,6,3,5,2,C-243,FALSE
Kin-Ki,13,Chariot,"Physical, Buff",,,"Physical, Nuclear",,,,,Intel,Shadow,"+1 STR, +2 TEC, +1 AGI","Golden Body – When a target declares a basic attack or Physical spell against you and that attack either misses or deals no damage, you gain +1 HDC until the end of your next turn.","Despair: Grants +2 STR, +2 MAG, +2 TEC, -3 AGI, -1 VIT, and -2 LCK to Kin-Ki until the end of its next turn.
Double Fists: Up to 2 targets within 3 meters. On hit: 6d8+8 (35) Physical damage. Deals half damage if two targets are chosen.
Bull Rush: 1 target within 6 meters. On hit: Kin-Ki occupies the target’s position and launches it up to STR (6/8) meters in the opposite direction of its movement. To each meter traveled by the effect of this spell, target takes 2STR (12/16) Physical damage.",Hyper-Counter (P): 20% chance to retaliate against a basic attack or Physical spell with any one of its Physical spells.,Chaotic,Auto-Tarukajamon (T3 Buff),6,1,9,6,4,4,C-243,FALSE
Moowis,13,--,,,,,Fire,,,,Thunder,Human,,,"Marker: One target Moowis can see gains the Marked Condition. Moowis has +1 HDC against Marked targets and can target Marked targets for any attacks even if the target is obscured, invisible, outside of the attack's range or otherwise unreachable. 
Vivisection: One target within 6 meters. On hit: 9d12 (58) Physical damage, and the start of that target's next turn, they lose 20% of their maximum HP as Almighty damage. 
Dynablast: Dynablast: Any number of targets between Moowis and a point within 5 meters. On hit: 9d8 (40) Fire damage and applies the following Condition: Fire Affinity -1. This Condition does not stack with other activations of itself. ",,,,1,9,8,5,5,2,SSVIII-15,FALSE
Reiko Kashima,13,Lovers,"Dark, Debuff",Dark,,,,,,,"PSY, Status",Rumor,"+2 TEC, +1 VIT, +1 LCK","Lingering Curse – If you’re in Death’s Door, you may choose one ally within TEC meters who isn’t. With their consent: You are revived with 1 HP, and that ally enters Death’s Door. This is considered a Free action. ","The Killing Question: Reiko Kashima engages negotiation with one User she can see: The target must perform an Expression check. If the result is less than 6, the next attack declared against the target is a guaranteed Critical hit. 
Disembowel: One target within 10 meters. On hit: 4d10 (22) Dark damage. If this attack was a Critical hit, Curse the target with the following effect: At the start of the target's turn, they take 4d10 (22) Dark damage. If damage from this attack puts a User in Death's Door, they immediately lose one counter. ","You’re Next (P): As long as there's at least one Reiko Kashima in combat, whenever a Shadow that isn't Reiko Kashima is slain, summon a Reiko Kashima with 10% HP (24) in the same position as the slain target, in the same place in the initiative. Copies of Reiko Kashima summoned by this effect grant 100 Experience.  ","Aggressive, Anthropophagous",Maeigaon (T3 Dark) ,1,4,9,4,8,4,SSII-13,FALSE
Johanna,13,Priestess,"Nuclear, Heal",,,Nuclear,Dark,,,,,Icon,"+2 AGI, +1 MAG, +4 Knowledge","The Illusory Popess (Nuclear, Heal) – Once per day, when you go over your Buildup Counter threshold, you can choose one target other than yourself that would take Nuclear damage. Instead, that target gains Fortify <All> against the next instance of damage equal to the damage they would have taken. This is not a Buff effect. ","Atomize: One target within 6 meters. On hit: AGId12 (45) Nuclear damage. 
Mafreila: Any number of targets. On hit: 7d6 (24) Nuclear damage. 
Sacred Rally: One target within 6 meters. Restore HP to that target equal to 20% (72) of Johanna's max HP. If this healing exceeds the target's max HP, it gains +2 TEC, +2 AGI for 3 rounds. This is a Buff effect that stacks with Decisive Defense, but not other Buff effects. ","Decisive Defense (P): When combat starts, Johanna and all Shadows in combat gain the effects of Rakukajamon (Fortify Physical and Elements +8) for 3 rounds, and Johanna removes all Buff effects from Users in combat. This triggers after all other automatic effects in this combat. ",Friendly,Diaraja (T3 Heal),1,7,6,7,6,4,SSV-18,FALSE
Seth,13,Tower,"Physical, Buff",,"Fire, Thunder",,,,,,"Light, PSY",Shadow,"+1 MAG, +1 TEC, +1 AGI, +1 VIT","Envy – You can lower all of one ally’s Social Skills Tiers by 1 to increase one of yours by 2 until the end of the current Scene, once per day.","Thunderstorm: Up to 1d6 targets within 9 meters. On hit: 8d6 (28) Thunder damage. Shocked chance: 25%
Vortex: Seth chooses a point within 10 meters. On hit: 8d6-8 (20/30) Wind damage. All enemies within 8 meters are dragged up to 5 meters towards the chosen point. If the chosen point is occupied by a unit, it suffers Knockdown. HDC+3","Wind of the Desert (P): Upon hitting a target, Seth may push it up to TEC meters in any direction.
Elemental Adept (P): Seth can substitute the damage of any of its Thunder or Wind spells by Thunder, Wind or Fire.
Wind Amp (P): Wind spells Seth casts deal 50% more damage.
Cruel Impulse (P): Critical Margin +1 Flying (P): Seth’s movement allowance is 2AGI in any direction.","Noble, Aggressive",Garudyne (T3 Wind),1,8,6,6,6,2,C-239,FALSE
Surt,13,Magician,"Physical, Fire",,Fire,PSY,,,,,Ice,Shadow,"+2 VIT, +1 STR, +1 TEC",Ragnarök – All Fire spells you cast can receive the Realized category.,"Laevateinn: One adjacent target. On hit: 8d8+4 (40) Physical damage. Replaces Surt’s basic attack.
Ragnarök: Any number of targets. On hit: 8d4 (20) Fire damage. Spend 1 Luck Charge to add 10 points of Fire damage. ","Heroic Gemini (P): Surt has a 20% chance to attack with Laevateinn against any number of targets hit by Ragnarök as its Interrupt action.
Counterattack (P): 30% chance to retaliate against a basic attack or Physical spell with Laevateinn.","Aggressive, Chaotic",Agneyastra (T3 Physical),8,8,6,1,10,4,C-240,FALSE
Yatsufusa,13,Hanged Man,"Fire, Buff",Fire,Wind,Light,Nuclear,,,,,Shadow,"+2 MAG, +1 AGI, +4 Empathy",Innocent Sacrifice – You can choose to take half the damage one ally would take from an attack to gain +1 DDC until the start of your next turn. This is an Interrupt action.,"Maragion: Any number of targets Yatsufusa can see. On hit: 7d4 (17) Fire damage.
Innocent Embers: 1 target Yatsufusa can see. HDC+1. On hit: 7d4+7 (24/30) Fire damage.
Carried by the Winds: One ally receives +1 HDC and +1 DDC until the end of Yatsufusa’s next turn","Torrential Link (P): Any attack Yatsufusa casts outside of its turn deals 25% more damage.
Blazing Link (P): Whenever an ally declares a basic attack or Physical spell, Yatsufusa can cast Innocent Embers against the caster as an Interrupt action.","Chaotic, Snobbish",Auto-Sukukajamon (T2 Buff) ,1,7,6,7,5,4,C-242,FALSE
Arcana Fortune,14,Fortune,"Wind, Status",,,,,,,,,Tyrant,,"Arcana of Impatience – As long as Arcana Fortune is in combat, Shadows in combat can trigger the effect of Luck Charges without spending Luck Charges. ","Garudyne: One target within 10 meters. Critical Margin +1. On hit: 9d12 (58) Wind damage. 
Vile Breath: All units in combat suffer the following effect: 10% more chance to suffer any Status effect, and their LCK is halved to avoid a Status effect. This is a Debuff effect that lasts for 3 rounds. ","Wheel of Fortune (P): At the start of each round roll 1d6 and apply the appropriate effect listed below. If Arcana Strength is defeated, or if Arcana Fortune's HP is 125 or lower, roll 1d4 instead.  
1. All Users in combat. On hit: 9d6 (31) PSY damage.
2. All Users in combat: 25+5TEC% (65) Fearful chance.
3. The User in combat with the lowest current HP enters Death's Door (this is an Almighty Type Death Category effect).
4. All Shadows in combat. On hit: 9d6 (31) Almighty damage.
5. All Shadows in combat: 15+5TEC% (55%) Poisoned chance.
6. Arcana Fortune takes double damage from all sources until the end of its next turn.",,,1,9,8,7,4,2,SSVI-51,FALSE
Arcana Strength,14,Strength,"Physical, Status",,,,,,,,,Tyrant,,"Arcana of Cowardice - As long as Arcana Strength is in combat, whenever a User must spend Counters, Aspect Points or Energy to trigger an effect or cast a spell, they must spend 1d4 more of that resource. If they cannot afford this cost, they still spend the required action for this round, but nothing happens. ","Heat Wave: All users in combat. On hit: 7d6 (24) Physical damage.
Eerie Sound: Up to three Users in combat. 20+5TEC% (60%) Stunned chance.
Vile Assault: One target within 6 meters. On hit: 7d10 (38) Physical damage. Critical Margin +2 against Users under Status effects.","Shield of Blind Loyalty (P): When combat starts, Arcana Strength creates a shield around Arcana Fortune. This shield is a Condition that grants Arcana Fortune the following effect: Target gains Null All, and Null Almighty. Target cannot declare any actions outside of movement and activating Wheel of Fortune. This Condition cannot be removed by any means. When Arcana Strength’s HP is reduced to 50% (325) or less, this effect is automatically removed.  ",,,7,1,8,1,11,2,SSVI-52,FALSE
Armaiti,14,Aeon,"PSY, Fire",,,,"Ice, Fire",,,,,Shadow,"+1 TEC, +2 AGI",Beneficent Devotion – You gain Fortify All +VIT for attacks declared by targets suffering from any Ingrained Status effect.,"Laplace Curse: Remove 1 Blaze Counter and one Oceanic Counter from one target. Inflict -2 STR, -2 MAG, -2 TEC, -2 AGI, Fortify All -12 for 5 rounds. This is considered a Debuff effect.
Fire from the Skies: One target within 8 meters. On hit: 5d10+15 (42) Fire damage and adds one Blaze Counter to the target.
Blast from the Depths: Up to 3 targets within 8 meters. On hit: 5d6 (17) Ice damage and adds 1 Oceanic Counter to each target hit.",,Noble,PSY Amp (T3 PSY),7,1,5,9,6,2,C-245,FALSE
